Term,RGB,,,,
cmp rbx,"rgb(232, 194, 160)",,,,
mov r11,"rgb(232, 193, 161)",,,,
lea rdi,"rgb(232, 192, 162)",,,,
- 0x50],"rgb(232, 191, 163)",,,,
rdx rbx,"rgb(232, 190, 164)",,,,
push r15,"rgb(232, 189, 165)",,,,
rcx r15,"rgb(231, 195, 160)",,,,
8] rbx,"rgb(231, 194, 161)",,,,
rdx [rbp,"rgb(231, 193, 162)",,,,
rdx r13,"rgb(231, 192, 163)",,,,
movsxd rax,"rgb(231, 191, 164)",,,,
rax 1,"rgb(231, 190, 165)",,,,
[rax] eax,"rgb(230, 195, 161)",,,,
mov r11d,"rgb(230, 194, 162)",,,,
r13 qword,"rgb(230, 193, 163)",,,,
rsp 0x38,"rgb(230, 192, 164)",,,,
add esp,"rgb(230, 191, 165)",,,,
ptr [r8],"rgb(229, 195, 162)",,,,
+ 0x90],"rgb(229, 194, 163)",,,,
r8d dword,"rgb(229, 193, 164)",,,,
cmp r12,"rgb(229, 192, 165)",,,,
r14 qword,"rgb(228, 195, 163)",,,,
0x28] rax,"rgb(228, 194, 164)",,,,
r12 qword,"rgb(228, 193, 165)",,,,
mov r13d,"rgb(227, 195, 164)",,,,
r9 [rip,"rgb(227, 194, 165)",,,,
- 0x24],"rgb(226, 195, 165)",,,,
rsi rax,"rgb(235, 195, 155)",,,,
- 0x60],"rgb(235, 194, 156)",,,,
rcx rdx,"rgb(235, 193, 157)",,,,
mov r10d,"rgb(235, 192, 158)",,,,
ptr [r9,"rgb(235, 191, 159)",,,,
rax [rsp,"rgb(235, 190, 160)",,,,
fstp st(0),"rgb(235, 189, 161)",,,,
[rax] 0,"rgb(235, 188, 162)",,,,
ptr [r12],"rgb(235, 187, 163)",,,,
+ 0x24],"rgb(235, 186, 164)",,,,
ptr [r14],"rgb(235, 185, 165)",,,,
r12d r12d,"rgb(234, 195, 156)",,,,
rdi rax,"rgb(234, 194, 157)",,,,
0x10] rax,"rgb(234, 193, 158)",,,,
rdx rsi,"rgb(234, 192, 159)",,,,
+ 0x98],"rgb(234, 191, 160)",,,,
0x20] 0,"rgb(234, 190, 161)",,,,
cmp rdi,"rgb(234, 189, 162)",,,,
rbp qword,"rgb(234, 188, 163)",,,,
[edi +,"rgb(234, 187, 164)",,,,
mov r14d,"rgb(234, 186, 165)",,,,
rax rdi,"rgb(233, 195, 157)",,,,
rax [rbp,"rgb(233, 194, 158)",,,,
rax rsp,"rgb(233, 193, 159)",,,,
[ecx +,"rgb(233, 192, 160)",,,,
8] rax,"rgb(233, 191, 161)",,,,
rdi rcx,"rgb(233, 190, 162)",,,,
rax dword,"rgb(233, 189, 163)",,,,
r13d r13d,"rgb(233, 188, 164)",,,,
r15 qword,"rgb(233, 187, 165)",,,,
rdx rdi,"rgb(232, 195, 158)",,,,
0x10] 0,"rgb(232, 194, 159)",,,,
rbx rdx,"rgb(232, 193, 160)",,,,
rsi [rip,"rgb(232, 192, 161)",,,,
#NAME?,"rgb(232, 191, 162)",,,,
rdx r14,"rgb(232, 190, 163)",,,,
xor r12d,"rgb(232, 189, 164)",,,,
- 0x58],"rgb(232, 188, 165)",,,,
rdx rcx,"rgb(231, 195, 159)",,,,
[r10 +,"rgb(231, 194, 160)",,,,
movsxd rcx,"rgb(231, 193, 161)",,,,
r8d 1,"rgb(231, 192, 162)",,,,
ptr [edi,"rgb(231, 191, 163)",,,,
[rbx -,"rgb(231, 190, 164)",,,,
r12 rcx,"rgb(231, 189, 165)",,,,
+ 0xa0],"rgb(230, 195, 160)",,,,
ptr [ecx,"rgb(230, 194, 161)",,,,
8] rcx,"rgb(230, 193, 162)",,,,
and qword,"rgb(230, 192, 163)",,,,
lea r12,"rgb(230, 191, 164)",,,,
rsp 0x60,"rgb(230, 190, 165)",,,,
r10 qword,"rgb(229, 195, 161)",,,,
xor rax,"rgb(229, 194, 162)",,,,
r9d dword,"rgb(229, 193, 163)",,,,
mov r15d,"rgb(229, 192, 164)",,,,
r8 rdi,"rgb(229, 191, 165)",,,,
rax r12,"rgb(228, 195, 162)",,,,
r10d r10d,"rgb(228, 194, 163)",,,,
xor r13d,"rgb(228, 193, 164)",,,,
lea r13,"rgb(228, 192, 165)",,,,
cmp rsi,"rgb(227, 195, 163)",,,,
r8 [rsp,"rgb(227, 194, 164)",,,,
rax r8,"rgb(227, 193, 165)",,,,
sub rcx,"rgb(226, 195, 164)",,,,
lea r8d,"rgb(226, 194, 165)",,,,
rsp 0x40,"rgb(225, 195, 165)",,,,
rdi rdi,"rgb(235, 195, 154)",,,,
8] 0,"rgb(235, 194, 155)",,,,
+ 0x1c],"rgb(235, 193, 156)",,,,
rsi rcx,"rgb(235, 192, 157)",,,,
r11 qword,"rgb(235, 191, 158)",,,,
+ 0x2c],"rgb(235, 190, 159)",,,,
r14 rax,"rgb(235, 189, 160)",,,,
r14d r14d,"rgb(235, 188, 161)",,,,
r8 rsi,"rgb(235, 187, 162)",,,,
test rdi,"rgb(235, 186, 163)",,,,
movsxd rdx,"rgb(235, 185, 164)",,,,
r8 r8,"rgb(235, 184, 165)",,,,
+ 0xb0],"rgb(234, 195, 155)",,,,
add rsi,"rgb(234, 194, 156)",,,,
ptr [rbp],"rgb(234, 193, 157)",,,,
sete al,"rgb(234, 192, 158)",,,,
0x30] rax,"rgb(234, 191, 159)",,,,
rcx r8,"rgb(234, 190, 160)",,,,
eax [ebp,"rgb(234, 189, 161)",,,,
rsi rsi,"rgb(234, 188, 162)",,,,
- 0xc],"rgb(234, 187, 163)",,,,
0x28] 0,"rgb(234, 186, 164)",,,,
sub rdx,"rgb(234, 185, 165)",,,,
+ rax*8],"rgb(233, 195, 156)",,,,
r13 rax,"rgb(233, 194, 157)",,,,
test r8,"rgb(233, 193, 158)",,,,
0x38] rax,"rgb(233, 192, 159)",,,,
test rsi,"rgb(233, 191, 160)",,,,
[ebx +,"rgb(233, 190, 161)",,,,
0x30] 0,"rgb(233, 189, 162)",,,,
