Term,RGB
eax 0A0h,"rgb(86, 194, 189)"
ecx 0CCh,"rgb(86, 193, 190)"
mov [edi+18h],"rgb(86, 192, 191)"
ecx [esi-34h],"rgb(86, 191, 192)"
ebx [ecx-44h],"rgb(86, 190, 193)"
eax [ebx+34h],"rgb(86, 189, 194)"
esi [ecx-8],"rgb(86, 188, 195)"
ecx 71h,"rgb(86, 187, 196)"
[ebp-34h] edi,"rgb(86, 186, 197)"
ptr [esi+218h],"rgb(86, 185, 198)"
ptr [esi-60h],"rgb(86, 184, 199)"
call sub_401384,"rgb(86, 183, 200)"
4 dup(0),"rgb(85, 200, 184)"
call sub_401EBC,"rgb(85, 199, 185)"
mov [esi+7Ch],"rgb(85, 198, 186)"
edx 7Fh,"rgb(85, 197, 187)"
eax [ebp+StartupInfo],"rgb(85, 196, 188)"
ebx 1Ch,"rgb(85, 195, 189)"
edx 64h,"rgb(85, 194, 190)"
edi [esi+54h],"rgb(85, 193, 191)"
call sub_401780,"rgb(85, 192, 192)"
ptr [edx-34h],"rgb(85, 191, 193)"
call sub_4017A8,"rgb(85, 190, 194)"
[esp+38h+var_38] ecx,"rgb(85, 189, 195)"
call sub_401B94,"rgb(85, 188, 196)"
[esp+3Ch+var_3C] ecx,"rgb(85, 187, 197)"
call sub_40158C,"rgb(85, 186, 198)"
call ds:GetEnvironmentStringsA,"rgb(85, 185, 199)"
edx 3Bh,"rgb(85, 184, 200)"
[ebx+8] esi,"rgb(84, 200, 185)"
ebx 0FFh,"rgb(84, 199, 186)"
call sub_40160A,"rgb(84, 198, 187)"
eax [edi+50h],"rgb(84, 197, 188)"
short loc_401AB8,"rgb(84, 196, 189)"
ebx [edi+50h],"rgb(84, 195, 190)"
ebx [ebp-24h],"rgb(84, 194, 191)"
ptr [esi-78h],"rgb(84, 193, 192)"
ptr [ebx-28h],"rgb(84, 192, 193)"
edx [ecx+40h],"rgb(84, 191, 194)"
call sub_40225C,"rgb(84, 190, 195)"
eax [edx-0Ch],"rgb(84, 189, 196)"
call sub_401FC4,"rgb(84, 188, 197)"
[ecx+14h] edi,"rgb(84, 187, 198)"
esi 30h,"rgb(84, 186, 199)"
[eax] 2,"rgb(84, 185, 200)"
[ebp-34h] ebx,"rgb(83, 200, 186)"
short loc_401627,"rgb(83, 199, 187)"
ecx 0EEh,"rgb(83, 198, 188)"
mov [esi+74h],"rgb(83, 197, 189)"
call sub_401938,"rgb(83, 196, 190)"
ptr [ebx-60h],"rgb(83, 195, 191)"
[ebp-40h] ebx,"rgb(83, 194, 192)"
[ebp+var_44] 4,"rgb(83, 193, 193)"
[esp+38h+var_38] esi,"rgb(83, 192, 194)"
ecx 0CDh,"rgb(83, 191, 195)"
eax [edx-30h],"rgb(83, 190, 196)"
call sub_4018F4,"rgb(83, 189, 197)"
ptr [esi+210h],"rgb(83, 188, 198)"
ecx 48h,"rgb(83, 187, 199)"
ptr [edx-68h],"rgb(83, 186, 200)"
esi 0Eh,"rgb(82, 200, 187)"
ebx [esi-38h],"rgb(82, 199, 188)"
eax 0CCh,"rgb(82, 198, 189)"
edi [esi+68h],"rgb(82, 197, 190)"
[ebp+var_60] ebx,"rgb(82, 196, 191)"
eax 6Bh,"rgb(82, 195, 192)"
edi [ebx+14h],"rgb(82, 194, 193)"
edx [edi+18h],"rgb(82, 193, 194)"
short loc_40160B,"rgb(82, 192, 195)"
[ebx+14h] eax,"rgb(82, 191, 196)"
[ebx+44h] eax,"rgb(82, 190, 197)"
[eax+10h] edx,"rgb(82, 189, 198)"
call sub_4021AC,"rgb(82, 188, 199)"
ebx [ecx-8],"rgb(82, 187, 200)"
esi [ebx+18h],"rgb(81, 200, 188)"
ptr [eax-74h],"rgb(81, 199, 189)"
ecx [edi+14h],"rgb(81, 198, 190)"
call sub_4012D0,"rgb(81, 197, 191)"
eax [ecx-10h],"rgb(81, 196, 192)"
short loc_402345,"rgb(81, 195, 193)"
ebx [esi+38h],"rgb(81, 194, 194)"
ecx 55h,"rgb(81, 193, 195)"
call sub_402380,"rgb(81, 192, 196)"
edi [esi+64h],"rgb(81, 191, 197)"
call sub_401928,"rgb(81, 190, 198)"
offset CreateFileA,"rgb(81, 189, 199)"
call sub_4019FC,"rgb(81, 188, 200)"
ptr [edi-3Ch],"rgb(80, 200, 189)"
ecx [edi+80h],"rgb(80, 199, 190)"
eax 7Bh,"rgb(80, 198, 191)"
eax 6Eh,"rgb(80, 197, 192)"
[ebp-4Ch] edi,"rgb(80, 196, 193)"
esi [edx+8],"rgb(80, 195, 194)"
call sub_401131,"rgb(80, 194, 195)"
ebx [ebp-18h],"rgb(80, 193, 196)"
short loc_401E4B,"rgb(80, 192, 197)"
ptr [eax+260h],"rgb(80, 191, 198)"
edx [ecx-4],"rgb(80, 190, 199)"
call sub_4017B0,"rgb(80, 189, 200)"
eax [ecx+50h],"rgb(79, 200, 190)"
[esp+24h+var_24] eax,"rgb(79, 199, 191)"
ptr [edi-1Ch],"rgb(79, 198, 192)"
ptr [ecx-14h],"rgb(79, 197, 193)"
eax 83h,"rgb(79, 196, 194)"
dw 400h,"rgb(79, 195, 195)"
jmp ds:LoadLibraryExA,"rgb(79, 194, 196)"
[edx+4] edi,"rgb(79, 193, 197)"
ah 1Dh,"rgb(79, 192, 198)"
call sub_401559,"rgb(79, 191, 199)"
[ecx+40h] eax,"rgb(79, 190, 200)"
esi [edx+0Ch],"rgb(78, 200, 191)"
call sub_401040,"rgb(78, 199, 192)"
edx [esi+30h],"rgb(78, 198, 193)"
short loc_401DC3,"rgb(78, 197, 194)"
eax [eax-0Ch],"rgb(78, 196, 195)"
call sub_401508,"rgb(78, 195, 196)"
call sub_4014C8,"rgb(78, 194, 197)"
mov [esi+90h],"rgb(78, 193, 198)"
eax 0F0h,"rgb(78, 192, 199)"
shr al,"rgb(78, 191, 200)"
call sub_401992,"rgb(77, 200, 192)"
[ebp+var_C] 1Eh,"rgb(77, 199, 193)"
add [ebp+var_68],"rgb(77, 198, 194)"
ptr [eax-6Ch],"rgb(77, 197, 195)"
ptr [ebx-64h],"rgb(77, 196, 196)"
edx 27h,"rgb(77, 195, 197)"
ptr [edx-44h],"rgb(77, 194, 198)"
edi [eax+44h],"rgb(77, 193, 199)"
add [ebp+var_5C],"rgb(77, 192, 200)"
call sub_40174F,"rgb(76, 200, 193)"
edx 0EDh,"rgb(76, 199, 194)"
ptr [eax-3Ch],"rgb(76, 198, 195)"
ptr [eax-54h],"rgb(76, 197, 196)"
offset ModuleName,"rgb(76, 196, 197)"
call sub_402060,"rgb(76, 195, 198)"
sub [ebp-4Ch],"rgb(76, 194, 199)"
ptr [edi-38h],"rgb(76, 193, 200)"
ecx [edi+30h],"rgb(75, 200, 194)"
ebx 0Fh,"rgb(75, 199, 195)"
edx 84h,"rgb(75, 198, 196)"
call sub_4014D0,"rgb(75, 197, 197)"
[ebp-4Ch] ebx,"rgb(75, 196, 198)"
ptr [edx-74h],"rgb(75, 195, 199)"
ebx [esi+18h],"rgb(75, 194, 200)"
eax [ebx+6Ch],"rgb(74, 200, 195)"
call sub_402010,"rgb(74, 199, 196)"
esi [eax+20h],"rgb(74, 198, 197)"
eax [esi+0CCh],"rgb(74, 197, 198)"
ecx 0A0h,"rgb(74, 196, 199)"
eax 94h,"rgb(74, 195, 200)"
edi [ebp-4Ch],"rgb(73, 200, 196)"
call sub_401140,"rgb(73, 199, 197)"
ecx [edi+24h],"rgb(73, 198, 198)"
and [ebp+var_68],"rgb(73, 197, 199)"
call sub_401A84,"rgb(73, 196, 200)"
call sub_402260,"rgb(72, 200, 197)"
eax 0AAh,"rgb(72, 199, 198)"
eax [esp],"rgb(72, 198, 199)"
and [ebp-0Ch],"rgb(72, 197, 200)"
call sub_402148,"rgb(71, 200, 198)"
esi [eax+1Ch],"rgb(71, 199, 199)"
mov [ecx+34h],"rgb(71, 198, 200)"
esi [edi+34h],"rgb(70, 200, 199)"
ecx 38h,"rgb(70, 199, 200)"
mov [esi+88h],"rgb(69, 200, 200)"
[ebp+var_28] 40h,"rgb(98, 181, 189)"
call sub_401930,"rgb(98, 180, 190)"
edx [ecx+44h],"rgb(97, 191, 180)"
ecx [ebx+20h],"rgb(97, 190, 181)"
[esi+20h] edi,"rgb(97, 189, 182)"
eax [ebx+80h],"rgb(97, 188, 183)"
ecx [edi+18h],"rgb(97, 187, 184)"
call sub_401240,"rgb(97, 186, 185)"
call sub_401172,"rgb(97, 185, 186)"
eax 0C8h,"rgb(97, 184, 187)"
mov [edi+30h],"rgb(97, 183, 188)"
ecx [ebx+1Ch],"rgb(97, 182, 189)"
[ebp+var_14] 42h,"rgb(97, 181, 190)"
ecx [esi+8Ch],"rgb(97, 180, 191)"
edx [ecx-8],"rgb(96, 192, 180)"
short loc_40223B,"rgb(96, 191, 181)"
ecx [edx-8],"rgb(96, 190, 182)"
[ebp-5Ch] ebx,"rgb(96, 189, 183)"
dw 3,"rgb(96, 188, 184)"
call sub_4012B7,"rgb(96, 187, 185)"
eax [edi+44h],"rgb(96, 186, 186)"
call sub_402262,"rgb(96, 185, 187)"
ebx [esi-44h],"rgb(96, 184, 188)"
dup(0) 2Dh,"rgb(96, 183, 189)"
ptr [ecx-20h],"rgb(96, 182, 190)"
call sub_401888,"rgb(96, 181, 191)"
edx 0BCh,"rgb(96, 180, 192)"
call sub_4023A8,"rgb(95, 193, 180)"
ecx [eax+6Ch],"rgb(95, 192, 181)"
eax 4Ch,"rgb(95, 191, 182)"
esi [ecx-4],"rgb(95, 190, 183)"
ptr [esi-74h],"rgb(95, 189, 184)"
eax [ebx+50h],"rgb(95, 188, 185)"
call sub_40151C,"rgb(95, 187, 186)"
call sub_401558,"rgb(95, 186, 187)"
ebx [ecx-14h],"rgb(95, 185, 188)"
eax [esi+0A4h],"rgb(95, 184, 189)"
edx 0F0h,"rgb(95, 183, 190)"
ptr [ecx-40h],"rgb(95, 182, 191)"
eax [edi+5Ch],"rgb(95, 181, 192)"
ptr [edx-18h],"rgb(95, 180, 193)"
edi [esi+6Ch],"rgb(94, 194, 180)"
edx [esi+5Ch],"rgb(94, 193, 181)"
call sub_401C3F,"rgb(94, 192, 182)"
eax [edi+0B0h],"rgb(94, 191, 183)"
call sub_4015BC,"rgb(94, 190, 184)"
[esp] edx,"rgb(94, 189, 185)"
esi [edi+10h],"rgb(94, 188, 186)"
ptr [ebx-80h],"rgb(94, 187, 187)"
ptr [ebx-10h],"rgb(94, 186, 188)"
call sub_401550,"rgb(94, 185, 189)"
offset FillRect,"rgb(94, 184, 190)"
eax 3Ah,"rgb(94, 183, 191)"
[ebx+10h] esi,"rgb(94, 182, 192)"
call sub_4011F8,"rgb(94, 181, 193)"
call sub_4016C0,"rgb(94, 180, 194)"
ptr [edi-10h],"rgb(93, 195, 180)"
ptr [edi+274h],"rgb(93, 194, 181)"
eax [ebx+58h],"rgb(93, 193, 182)"
call sub_4019A0,"rgb(93, 192, 183)"
esi 74h,"rgb(93, 191, 184)"
esi 2Bh,"rgb(93, 190, 185)"
[ebp+var_24] 40h,"rgb(93, 189, 186)"
ebx 0Dh,"rgb(93, 188, 187)"
edi [esi+50h],"rgb(93, 187, 188)"
edx 48h,"rgb(93, 186, 189)"
edi [ecx+6Ch],"rgb(93, 185, 190)"
edx 0FFFFFFD4h,"rgb(93, 184, 191)"
call sub_402074,"rgb(93, 183, 192)"
edx 71h,"rgb(93, 182, 193)"
ptr [eax-14h],"rgb(93, 181, 194)"
ptr [esi-2Ch],"rgb(93, 180, 195)"
[esi+4Ch] edi,"rgb(92, 196, 180)"
esi [edi+68h],"rgb(92, 195, 181)"
[esi+3Ch] ebx,"rgb(92, 194, 182)"
ptr [edi+228h],"rgb(92, 193, 183)"
call sub_40108C,"rgb(92, 192, 184)"
[ebp+var_14] 2,"rgb(92, 191, 185)"
ebx [eax+10h],"rgb(92, 190, 186)"
[ebx+24h] eax,"rgb(92, 189, 187)"
edi [ecx+10h],"rgb(92, 188, 188)"
edi [ebp+var_58],"rgb(92, 187, 189)"
ptr [ebx-48h],"rgb(92, 186, 190)"
eax 7Dh,"rgb(92, 185, 191)"
edx [ebx+20h],"rgb(92, 184, 192)"
edi [esi+2Ch],"rgb(92, 183, 193)"
edx 1Ch,"rgb(92, 182, 194)"
call sub_401021,"rgb(92, 181, 195)"
call sub_401313,"rgb(92, 180, 196)"
ptr [edx+308h],"rgb(91, 197, 180)"
call sub_402170,"rgb(91, 196, 181)"
sub [ebp-4],"rgb(91, 195, 182)"
edi [edx+2Ch],"rgb(91, 194, 183)"
[ebp+var_C] 3,"rgb(91, 193, 184)"
call sub_4015C2,"rgb(91, 192, 185)"
ptr [edi-34h],"rgb(91, 191, 186)"
ptr [ebx-50h],"rgb(91, 190, 187)"
call sub_402020,"rgb(91, 189, 188)"
short loc_40233B,"rgb(91, 188, 189)"
call sub_402034,"rgb(91, 187, 190)"
eax 0ACh,"rgb(91, 186, 191)"
eax 0BFh,"rgb(91, 185, 192)"
edx 31h,"rgb(91, 184, 193)"
ebx 6,"rgb(91, 183, 194)"
call sub_402090,"rgb(91, 182, 195)"
call sub_401D6F,"rgb(91, 181, 196)"
[esp+28h+var_28] esi,"rgb(91, 180, 197)"
[ecx+2Ch] edx,"rgb(90, 198, 180)"
[eax] 4,"rgb(90, 197, 181)"
ecx [esi-4],"rgb(90, 196, 182)"
eax [esi+0BCh],"rgb(90, 195, 183)"
ptr [eax-28h],"rgb(90, 194, 184)"
ecx [esi+58h],"rgb(90, 193, 185)"
ptr [edx-30h],"rgb(90, 192, 186)"
edi [ecx-24h],"rgb(90, 191, 187)"
call sub_4013C4,"rgb(90, 190, 188)"
ecx [esi+84h],"rgb(90, 189, 189)"
edx 0C1h,"rgb(90, 188, 190)"
ecx [esi+94h],"rgb(90, 187, 191)"
eax [edx+4Ch],"rgb(90, 186, 192)"
call sub_401A2E,"rgb(90, 185, 193)"
ecx [eax+0B0h],"rgb(90, 184, 194)"
ptr [edx-8],"rgb(90, 183, 195)"
[edi+8] ecx,"rgb(90, 182, 196)"
[ebp+var_18] 1Eh,"rgb(90, 181, 197)"
short loc_401D6F,"rgb(90, 180, 198)"
ptr [edx-0Ch],"rgb(89, 199, 180)"
call sub_401AFC,"rgb(89, 198, 181)"
ecx [esi+0C0h],"rgb(89, 197, 182)"
[ebp+var_18] 40h,"rgb(89, 196, 183)"
ecx [edi+28h],"rgb(89, 195, 184)"
call sub_401E14,"rgb(89, 194, 185)"
esi 17h,"rgb(89, 193, 186)"
call sub_401544,"rgb(89, 192, 187)"
ptr [edi-64h],"rgb(89, 191, 188)"
eax [edi-24h],"rgb(89, 190, 189)"
offset aA,"rgb(89, 189, 190)"
call sub_401A86,"rgb(89, 188, 191)"
ebx [edx-4],"rgb(89, 187, 192)"
[ebp+var_4] 34h,"rgb(89, 186, 193)"
ptr [ecx-70h],"rgb(89, 185, 194)"
ptr [edx-4],"rgb(89, 184, 195)"
eax [edi+0B8h],"rgb(89, 183, 196)"
[ebp-40h] edi,"rgb(89, 182, 197)"
[ebp+var_10] 20h,"rgb(89, 181, 198)"
ptr [ecx-2Ch],"rgb(89, 180, 199)"
eax [ebx+90h],"rgb(88, 200, 180)"
[ebp+var_1C] 0Ch,"rgb(88, 199, 181)"
eax [esi-3Ch],"rgb(88, 198, 182)"
call sub_401C21,"rgb(88, 197, 183)"
ptr [edi+208h],"rgb(88, 196, 184)"
[esi+90h] edi,"rgb(88, 195, 185)"
eax [edx+38h],"rgb(88, 194, 186)"
call sub_4020A0,"rgb(88, 193, 187)"
call sub_40212C,"rgb(88, 192, 188)"
ptr [eax+21Ch],"rgb(88, 191, 189)"
ecx 57h,"rgb(88, 190, 190)"
[ebp+var_14] 0Ch,"rgb(88, 189, 191)"
call sub_401650,"rgb(88, 188, 192)"
call sub_4021B0,"rgb(88, 187, 193)"
ptr [eax-58h],"rgb(88, 186, 194)"
esi [edi-14h],"rgb(88, 185, 195)"
ptr [eax-24h],"rgb(88, 184, 196)"
ecx [ebx+30h],"rgb(88, 183, 197)"
[ebx+40h] eax,"rgb(88, 182, 198)"
short loc_401A14,"rgb(88, 181, 199)"
short loc_401ACF,"rgb(88, 180, 200)"
ecx [esi+70h],"rgb(87, 200, 181)"
ptr [ebx-40h],"rgb(87, 199, 182)"
esi [edx+3Ch],"rgb(87, 198, 183)"
[ecx+10h] esi,"rgb(87, 197, 184)"
call sub_4022A8,"rgb(87, 196, 185)"
call sub_4019C4,"rgb(87, 195, 186)"
and [ebp-2Ch],"rgb(87, 194, 187)"
ptr [ebx-78h],"rgb(87, 193, 188)"
edx 47h,"rgb(87, 192, 189)"
edx [eax+50h],"rgb(87, 191, 190)"
offset ExitProcess,"rgb(87, 190, 191)"
short loc_4017BB,"rgb(87, 189, 192)"
[eax+104h] ebx,"rgb(87, 188, 193)"
eax 4Ah,"rgb(87, 187, 194)"
ptr [esi-3Ch],"rgb(87, 186, 195)"
edx [ecx-1Ch],"rgb(87, 185, 196)"
ecx [eax+0A0h],"rgb(87, 184, 197)"
ecx 78h,"rgb(87, 183, 198)"
edi [esi+5Ch],"rgb(87, 182, 199)"
ebx [edi+0Ch],"rgb(87, 181, 200)"
ptr [eax-30h],"rgb(86, 200, 182)"
[esp+40h+var_40] eax,"rgb(86, 199, 183)"
short loc_401DBF,"rgb(86, 198, 184)"
mov [ebx+1Ch],"rgb(86, 197, 185)"
eax [ebx-8],"rgb(86, 196, 186)"
call sub_40155C,"rgb(86, 195, 187)"
edx [esi+68h],"rgb(86, 194, 188)"
or [eax+8],"rgb(86, 193, 189)"
ebx [eax-4],"rgb(86, 192, 190)"
call sub_4014E8,"rgb(86, 191, 191)"
call sub_401EC0,"rgb(86, 190, 192)"
ecx [esi+0DCh],"rgb(86, 189, 193)"
[eax+14h] edx,"rgb(86, 188, 194)"
call sub_401468,"rgb(86, 187, 195)"
call sub_401042,"rgb(86, 186, 196)"
edx 82h,"rgb(86, 185, 197)"
eax [edx-10h],"rgb(86, 184, 198)"
ptr [edx-3Ch],"rgb(86, 183, 199)"
offset GetLastError,"rgb(86, 182, 200)"
ptr [esi+22Ch],"rgb(85, 200, 183)"
short loc_401AA4,"rgb(85, 199, 184)"
ptr [esi+21Ch],"rgb(85, 198, 185)"
short loc_4013C7,"rgb(85, 197, 186)"
ptr [edi-28h],"rgb(85, 196, 187)"
dw 82h,"rgb(85, 195, 188)"
ptr [ecx-60h],"rgb(85, 194, 189)"
eax 4Fh,"rgb(85, 193, 190)"
short loc_401A4B,"rgb(85, 192, 191)"
ptr [edi-80h],"rgb(85, 191, 192)"
edx 5Ah,"rgb(85, 190, 193)"
ptr [esi-48h],"rgb(85, 189, 194)"
edi 13h,"rgb(85, 188, 195)"
ptr [edx+31Ch],"rgb(85, 187, 196)"
ptr [ebx-58h],"rgb(85, 186, 197)"
eax [edi+30h],"rgb(85, 185, 198)"
dw 0Ch,"rgb(85, 184, 199)"
ecx [edx+34h],"rgb(85, 183, 200)"
dw 40h,"rgb(84, 200, 184)"
mov [eax+38h],"rgb(84, 199, 185)"
short loc_401D3B,"rgb(84, 198, 186)"
esi [edx+40h],"rgb(84, 197, 187)"
ptr [edx-64h],"rgb(84, 196, 188)"
ebx [ecx-0Ch],"rgb(84, 195, 189)"
edx [edi+48h],"rgb(84, 194, 190)"
edx [edi+58h],"rgb(84, 193, 191)"
xor [esi+54h],"rgb(84, 192, 192)"
call sub_4010EC,"rgb(84, 191, 193)"
eax [ebx-10h],"rgb(84, 190, 194)"
ptr [ecx-6Ch],"rgb(84, 189, 195)"
ptr [edx-60h],"rgb(84, 188, 196)"
ecx [ebx-4Ch],"rgb(84, 187, 197)"
edx [edi+30h],"rgb(84, 186, 198)"
xor [ebp-2Ch],"rgb(84, 185, 199)"
edx [esi+50h],"rgb(84, 184, 200)"
call sub_401F50,"rgb(83, 200, 185)"
eax 43h,"rgb(83, 199, 186)"
ecx 52h,"rgb(83, 198, 187)"
ptr [edx-48h],"rgb(83, 197, 188)"
ptr [eax+30Ch],"rgb(83, 196, 189)"
ptr [eax+308h],"rgb(83, 195, 190)"
[ebp+var_1C] 40h,"rgb(83, 194, 191)"
call sub_401CE3,"rgb(83, 193, 192)"
ptr [edx-14h],"rgb(83, 192, 193)"
or [ebp-1Ch],"rgb(83, 191, 194)"
edi 0Bh,"rgb(83, 190, 195)"
ebx [eax+3Ch],"rgb(83, 189, 196)"
call sub_4014AA,"rgb(83, 188, 197)"
edi [esi-38h],"rgb(83, 187, 198)"
ptr [edx-20h],"rgb(83, 186, 199)"
call sub_401FE8,"rgb(83, 185, 200)"
eax [esi-8],"rgb(82, 200, 186)"
eax 2Fh,"rgb(82, 199, 187)"
ptr [esi-38h],"rgb(82, 198, 188)"
[ebp-28h] 1,"rgb(82, 197, 189)"
short loc_401ADF,"rgb(82, 196, 190)"
ecx [esi+0B0h],"rgb(82, 195, 191)"
ecx 0ECh,"rgb(82, 194, 192)"
edi [edx-4],"rgb(82, 193, 193)"
esi 0FFFFFFF8h,"rgb(82, 192, 194)"
ebx 1Dh,"rgb(82, 191, 195)"
eax 47h,"rgb(82, 190, 196)"
esi [ecx+18h],"rgb(82, 189, 197)"
[esp] ebx,"rgb(82, 188, 198)"
eax 68h,"rgb(82, 187, 199)"
esi [edi+1Ch],"rgb(82, 186, 200)"
ptr [eax-4Ch],"rgb(81, 200, 187)"
ebx [edi+30h],"rgb(81, 199, 188)"
[ebp-5Ch] edx,"rgb(81, 198, 189)"
ptr [eax-40h],"rgb(81, 197, 190)"
ptr [eax-10h],"rgb(81, 196, 191)"
ptr [ecx-18h],"rgb(81, 195, 192)"
[ebp+var_14] 8,"rgb(81, 194, 193)"
ptr [esi-6Ch],"rgb(81, 193, 194)"
esi [edx+44h],"rgb(81, 192, 195)"
[esp+28h+var_28] edx,"rgb(81, 191, 196)"
ptr [ecx-58h],"rgb(81, 190, 197)"
[esi+70h] eax,"rgb(81, 189, 198)"
short loc_4016DB,"rgb(81, 188, 199)"
edi [eax-8],"rgb(81, 187, 200)"
ebx [esi-0A8h],"rgb(80, 200, 188)"
ecx 6Dh,"rgb(80, 199, 189)"
ecx 2Eh,"rgb(80, 198, 190)"
ecx 4Ah,"rgb(80, 197, 191)"
[ebp-38h] esi,"rgb(80, 196, 192)"
esi [eax+24h],"rgb(80, 195, 193)"
ebx [ebp-54h],"rgb(80, 194, 194)"
[ebp+var_68] esi,"rgb(80, 193, 195)"
mov [esi+114h],"rgb(80, 192, 196)"
call sub_4020BF,"rgb(80, 191, 197)"
ptr [eax-60h],"rgb(80, 190, 198)"
edi [edx+10h],"rgb(80, 189, 199)"
mov [edx+28h],"rgb(80, 188, 200)"
eax [edi+60h],"rgb(79, 200, 189)"
esi [ebx+38h],"rgb(79, 199, 190)"
mov [ecx+24h],"rgb(79, 198, 191)"
[edx+4] ebx,"rgb(79, 197, 192)"
mov [ebx+2Ch],"rgb(79, 196, 193)"
mov [eax+104h],"rgb(79, 195, 194)"
edi [esi+30h],"rgb(79, 194, 195)"
esi [ecx+20h],"rgb(79, 193, 196)"
eax [edi+34h],"rgb(79, 192, 197)"
ecx [ebx+2Ch],"rgb(79, 191, 198)"
edx [ecx+64h],"rgb(79, 190, 199)"
call sub_402559,"rgb(79, 189, 200)"
[ebp-30h] edi,"rgb(78, 200, 190)"
ecx [edi+1Ch],"rgb(78, 199, 191)"
short loc_40161F,"rgb(78, 198, 192)"
edx [edi-4],"rgb(78, 197, 193)"
ptr [edx-1Ch],"rgb(78, 196, 194)"
sub [eax+70h],"rgb(78, 195, 195)"
ptr [esi+284h],"rgb(78, 194, 196)"
[ebp-54h] ebx,"rgb(78, 193, 197)"
call sub_401234,"rgb(78, 192, 198)"
edi [edx-1Ch],"rgb(78, 191, 199)"
esi [edx-58h],"rgb(78, 190, 200)"
short loc_401922,"rgb(77, 200, 191)"
ecx [esi+50h],"rgb(77, 199, 192)"
ptr [edi-5Ch],"rgb(77, 198, 193)"
ptr [edi-54h],"rgb(77, 197, 194)"
esi [ebx+14h],"rgb(77, 196, 195)"
short loc_401663,"rgb(77, 195, 196)"
edx [esi+48h],"rgb(77, 194, 197)"
call sub_401A51,"rgb(77, 193, 198)"
edi [esi+8Ch],"rgb(77, 192, 199)"
short loc_401A99,"rgb(77, 191, 200)"
or [ebp+var_58],"rgb(76, 200, 192)"
call sub_402050,"rgb(76, 199, 193)"
call sub_4011E3,"rgb(76, 198, 194)"
[esp] esi,"rgb(76, 197, 195)"
eax 0E2h,"rgb(76, 196, 196)"
dw 8Ch,"rgb(76, 195, 197)"
call sub_4016A1,"rgb(76, 194, 198)"
eax [ecx+48h],"rgb(76, 193, 199)"
eax 86h,"rgb(76, 192, 200)"
edx [ebx+2Ch],"rgb(75, 200, 193)"
edx [esi+28h],"rgb(75, 199, 194)"
ecx [edi+6Ch],"rgb(75, 198, 195)"
eax [esi-40h],"rgb(75, 197, 196)"
eax [esi-30h],"rgb(75, 196, 197)"
eax 0FFFFFFD3h,"rgb(75, 195, 198)"
[esp+48h+var_48] eax,"rgb(75, 194, 199)"
eax [edi-0Ch],"rgb(75, 193, 200)"
dd 0C000h,"rgb(74, 200, 194)"
ecx 79h,"rgb(74, 199, 195)"
eax 14Dh,"rgb(74, 198, 196)"
edi [esi+0A0h],"rgb(74, 197, 197)"
edx [eax+44h],"rgb(74, 196, 198)"
edx [ecx-3Ch],"rgb(74, 195, 199)"
call sub_401D41,"rgb(74, 194, 200)"
[ebp+var_1C] 23h,"rgb(73, 200, 195)"
esi 98h,"rgb(73, 199, 196)"
[eax+18h] edi,"rgb(73, 198, 197)"
ebx [esi+64h],"rgb(73, 197, 198)"
ebx [esi+1Ch],"rgb(73, 196, 199)"
ptr [esi+280h],"rgb(73, 195, 200)"
short loc_40213D,"rgb(72, 200, 196)"
ecx [edi+38h],"rgb(72, 199, 197)"
short loc_4019A7,"rgb(72, 198, 198)"
call sub_40240D,"rgb(72, 197, 199)"
[esp+34h+var_34] eax,"rgb(72, 196, 200)"
[ebp+var_4] 30h,"rgb(71, 200, 197)"
xor [ebp+var_60],"rgb(71, 199, 198)"
ptr [ebx-54h],"rgb(71, 198, 199)"
eax 4Bh,"rgb(71, 197, 200)"
[ebp+var_38] 0Ch,"rgb(70, 200, 198)"
[ebp+var_34] 0Ch,"rgb(70, 199, 199)"
ecx [eax+48h],"rgb(70, 198, 200)"
ptr [esi+3D0h],"rgb(69, 200, 199)"
ecx [edx-3Ch],"rgb(69, 199, 200)"
[esi+48h] edi,"rgb(68, 200, 200)"
short loc_40220B,"rgb(98, 181, 188)"
ecx 47h,"rgb(98, 180, 189)"
[ebp+var_5C] edi,"rgb(97, 190, 180)"
call sub_4013A7,"rgb(97, 189, 181)"
edx [edi+54h],"rgb(97, 188, 182)"
dw 0A0h,"rgb(97, 187, 183)"
ebx 38h,"rgb(97, 186, 184)"
[esi+68h] ebx,"rgb(97, 185, 185)"
dw 0Ah,"rgb(97, 184, 186)"
eax 601h,"rgb(97, 183, 187)"
ecx 0B4h,"rgb(97, 182, 188)"
edi [ebx+7Ch],"rgb(97, 181, 189)"
ecx 0C8h,"rgb(97, 180, 190)"
mov [esi+0ACh],"rgb(96, 191, 180)"
edi 63h,"rgb(96, 190, 181)"
mov [eax+44h],"rgb(96, 189, 182)"
ecx 1Dh,"rgb(96, 188, 183)"
eax [ebx+20h],"rgb(96, 187, 184)"
edx 42h,"rgb(96, 186, 185)"
call sub_401EA0,"rgb(96, 185, 186)"
edx 0F8h,"rgb(96, 184, 187)"
ptr [ecx-8],"rgb(96, 183, 188)"
short loc_4021DF,"rgb(96, 182, 189)"
ecx 11h,"rgb(96, 181, 190)"
dw 94h,"rgb(96, 180, 191)"
call sub_401BF2,"rgb(95, 192, 180)"
eax 74h,"rgb(95, 191, 181)"
