Term,RGB
esp [ebp-8Ch],"rgb(117, 119, 107)"
aShell32_dll db,"rgb(117, 118, 108)"
ecx 103h,"rgb(117, 117, 109)"
and [ebp+arg_10],"rgb(117, 116, 110)"
[ebx+10h] esi,"rgb(117, 115, 111)"
call sub_40F080,"rgb(117, 114, 112)"
ecx [ebp+var_BC],"rgb(117, 113, 113)"
ecx [esi+0F0h],"rgb(117, 112, 114)"
mov [ebp+uBytes],"rgb(117, 111, 115)"
[esp+18h+var_4] 2,"rgb(117, 110, 116)"
[esi+70h] ebx,"rgb(116, 137, 90)"
call sub_404680,"rgb(116, 136, 91)"
[ebp+var_B0] 0,"rgb(116, 135, 92)"
edx [ebp+var_DC],"rgb(116, 134, 93)"
ebx [esp+14h],"rgb(116, 133, 94)"
dd 0C0003h,"rgb(116, 132, 95)"
dl 22h,"rgb(116, 131, 96)"
mov [ebp-9Ch],"rgb(116, 130, 97)"
[eax+34h] edx,"rgb(116, 129, 98)"
ebx [ecx+1],"rgb(116, 128, 99)"
[ebx+3Ch] eax,"rgb(116, 127, 100)"
[esi] 3Ah,"rgb(116, 126, 101)"
edi [ebp-70h],"rgb(116, 125, 102)"
[ebp+dwShareMode] 1,"rgb(116, 124, 103)"
ax 5Ch,"rgb(116, 123, 104)"
ecx [ebp+var_A8],"rgb(116, 122, 105)"
mov [ebp+var_410],"rgb(116, 121, 106)"
[esi+10h] 0FFFFFFFFh,"rgb(116, 120, 107)"
eax [esp+10h+arg_10],"rgb(116, 119, 108)"
[eax] 2Dh,"rgb(116, 118, 109)"
offset Src,"rgb(116, 117, 110)"
[eax+edi] 0,"rgb(116, 116, 111)"
eax [ebp+var_124],"rgb(116, 115, 112)"
mov [ebp+var_190],"rgb(116, 114, 113)"
ecx [esp+40h+var_24],"rgb(116, 113, 114)"
[eax+8] ebp,"rgb(116, 112, 115)"
xmm0 dword,"rgb(116, 111, 116)"
al 4Ch,"rgb(116, 110, 117)"
push 143h,"rgb(115, 138, 90)"
[eax+80h] ecx,"rgb(115, 137, 91)"
edx 8000h,"rgb(115, 136, 92)"
[ebp+SrcStr] al,"rgb(115, 135, 93)"
eax 0FFF7FFFFh,"rgb(115, 134, 94)"
mov [ebp+3A0h+var_40C],"rgb(115, 133, 95)"
edx [ebp-80h],"rgb(115, 132, 96)"
edx [ebp+pv],"rgb(115, 131, 97)"
mov [esp+5Ch+var_4],"rgb(115, 130, 98)"
[ebp+var_424] eax,"rgb(115, 129, 99)"
edx [ebp+var_100],"rgb(115, 128, 100)"
short loc_401714,"rgb(115, 127, 101)"
cmp [ebp+var_90],"rgb(115, 126, 102)"
ecx [ebp+var_A4],"rgb(115, 125, 103)"
mov [ebp+Rect.right],"rgb(115, 124, 104)"
cmp [esp+0Ch+arg_4],"rgb(115, 123, 105)"
test [ebp+arg_8],"rgb(115, 122, 106)"
[ebp+Point.x] eax,"rgb(115, 121, 107)"
ptr [ebp+MultiByteStr],"rgb(115, 120, 108)"
ebp [esi+8],"rgb(115, 119, 109)"
eax 27h,"rgb(115, 118, 110)"
ptr [ebp+0Eh],"rgb(115, 117, 111)"
esp 128h,"rgb(115, 116, 112)"
short loc_402E2A,"rgb(115, 115, 113)"
[esi] 3Ch,"rgb(115, 114, 114)"
eax 7FF8FFA9h,"rgb(115, 113, 115)"
ptr [eax+0A0h],"rgb(115, 112, 116)"
[ebp+var_5C] 2,"rgb(115, 111, 117)"
[esp+8+var_4] eax,"rgb(115, 110, 118)"
edx [ebp+var_19],"rgb(114, 139, 90)"
[esp+40h+var_4] 0FFFFFFFFh,"rgb(114, 138, 91)"
[esi] 28h,"rgb(114, 137, 92)"
[ecx] 2Dh,"rgb(114, 136, 93)"
ptr [esp+24h],"rgb(114, 135, 94)"
eax [ebp+CommandLine],"rgb(114, 134, 95)"
eax [ecx+eax],"rgb(114, 133, 96)"
edx [edx+14h],"rgb(114, 132, 97)"
edx [esp+20h],"rgb(114, 131, 98)"
eax [esp+50h+arg_0],"rgb(114, 130, 99)"
ecx [ebp+hWnd],"rgb(114, 129, 100)"
mov [ebx+ecx*4],"rgb(114, 128, 101)"
ecx [esi+0A4h],"rgb(114, 127, 102)"
esi ds:__imp__GetProcAddress@8,"rgb(114, 126, 103)"
edx [ebp+var_2],"rgb(114, 125, 104)"
ecx [esp+24h+var_4],"rgb(114, 124, 105)"
eax [esp+3Ch+var_14],"rgb(114, 123, 106)"
eax [eax+edi+0Ch],"rgb(114, 122, 107)"
push 3F0h,"rgb(114, 121, 108)"
ptr [ebp-2],"rgb(114, 120, 109)"
[esi+2] 0,"rgb(114, 119, 110)"
cmp [ebp+1Ch],"rgb(114, 118, 111)"
mov [ebp+var_43C],"rgb(114, 117, 112)"
ecx di,"rgb(114, 116, 113)"
[esi+30h] ecx,"rgb(114, 115, 114)"
push 120h,"rgb(114, 114, 115)"
1080446h 0,"rgb(114, 113, 116)"
push [ebp+dwMessageId],"rgb(114, 112, 117)"
[ebp+var_B4] 0,"rgb(114, 111, 118)"
[esi+0Ch] 0FFFFFFFFh,"rgb(114, 110, 119)"
mov [ebp+var_1B0],"rgb(113, 140, 90)"
[ebp+var_30] 4,"rgb(113, 139, 91)"
[eax+esi+4] 40h,"rgb(113, 138, 92)"
mov [eax+64h],"rgb(113, 137, 93)"
dw 0FFFFh,"rgb(113, 136, 94)"
[ebp+var_18] 2,"rgb(113, 135, 95)"
edx [edx+18h],"rgb(113, 134, 96)"
[esi+2Ch] offset,"rgb(113, 133, 97)"
db 's',"rgb(113, 132, 98)"
[ebp+var_2] cx,"rgb(113, 131, 99)"
edi [edi+10h],"rgb(113, 130, 100)"
push [ebp+dwNewLong],"rgb(113, 129, 101)"
[ebp+var_104] edx,"rgb(113, 128, 102)"
offset aMscoree_dll,"rgb(113, 127, 103)"
[ebp+var_11C] edx,"rgb(113, 126, 104)"
ecx [ebx+40h],"rgb(113, 125, 105)"
ecx [esi+0C4h],"rgb(113, 124, 106)"
ptr [esp+0FCh+var_4],"rgb(113, 123, 107)"
eax [esi+edx],"rgb(113, 122, 108)"
edx 800h,"rgb(113, 121, 109)"
add [ebp+var_38],"rgb(113, 120, 110)"
[ebp+var_16] 1,"rgb(113, 119, 111)"
eax [ebp+var_1F],"rgb(113, 118, 112)"
push 96h,"rgb(113, 117, 113)"
mov [esi+0D0h],"rgb(113, 116, 114)"
ptr [ebp+var_32],"rgb(113, 115, 115)"
and [ebp+var_3],"rgb(113, 114, 116)"
di byte,"rgb(113, 113, 117)"
[ebp+StartupInfo.cbReserved2] di,"rgb(113, 112, 118)"
mov [esp+40h+var_1C],"rgb(113, 111, 119)"
mov [ebx+eax],"rgb(113, 110, 120)"
edx [ebp-74h],"rgb(112, 140, 91)"
eax [ebp+var_458],"rgb(112, 139, 92)"
[ebp+var_24] 0FFFFFFFFh,"rgb(112, 138, 93)"
mov [edi+0Ah],"rgb(112, 137, 94)"
edi al,"rgb(112, 136, 95)"
esi [esp+10h+arg_8],"rgb(112, 135, 96)"
eax [esp+30h],"rgb(112, 134, 97)"
[eax+28h] 1,"rgb(112, 133, 98)"
ficom dword,"rgb(112, 132, 99)"
esi [esp+20h+arg_4],"rgb(112, 131, 100)"
[edx-2EDCFCBAh] cl,"rgb(112, 130, 101)"
ptr [ebp+var_2C+2],"rgb(112, 129, 102)"
[ebp+var_70] edx,"rgb(112, 128, 103)"
edx [eax+eax*4],"rgb(112, 127, 104)"
[ebp+var_100] edx,"rgb(112, 126, 105)"
cmp [esi+54h],"rgb(112, 125, 106)"
[ebp+4] ecx,"rgb(112, 124, 107)"
ecx [esp+0Ch+arg_C],"rgb(112, 123, 108)"
eax 0CCh,"rgb(112, 122, 109)"
ax 108h,"rgb(112, 121, 110)"
call sub_402260,"rgb(112, 120, 111)"
[eax+24h] edx,"rgb(112, 119, 112)"
mov [ebp+var_278],"rgb(112, 118, 113)"
and [ebp+var_40],"rgb(112, 117, 114)"
push 0C0h,"rgb(112, 116, 115)"
dd 140004h,"rgb(112, 115, 116)"
edx [esp+24h+var_14],"rgb(112, 114, 117)"
mov [eax+5Ch],"rgb(112, 113, 118)"
db ',"rgb(112, 112, 119)"
call ds:CreateEventA,"rgb(112, 111, 120)"
ecx [eax+esi+4],"rgb(111, 140, 92)"
mov [ebp+dwErrCode],"rgb(111, 139, 93)"
cl 2Fh,"rgb(111, 138, 94)"
ebx 60h,"rgb(111, 137, 95)"
fld [ebp+var_18],"rgb(111, 136, 96)"
mov [esp+30h+var_8],"rgb(111, 135, 97)"
esi [esp+24h+arg_0],"rgb(111, 134, 98)"
edx si,"rgb(111, 133, 99)"
[ebp+var_6] 1,"rgb(111, 132, 100)"
[eax+ecx*4] edx,"rgb(111, 131, 101)"
[ebp+var_C4] eax,"rgb(111, 130, 102)"
[edi+4] 2,"rgb(111, 129, 103)"
eax 0FFFFFF9Ch,"rgb(111, 128, 104)"
edi [ebx+24h],"rgb(111, 127, 105)"
mov [ebp+lpSubKey],"rgb(111, 126, 106)"
push 56h,"rgb(111, 125, 107)"
dw 174h,"rgb(111, 124, 108)"
[esi+34h] ecx,"rgb(111, 123, 109)"
esi [edi+2Ch],"rgb(111, 122, 110)"
ebx [ebp-0Ch],"rgb(111, 121, 111)"
esi [ebp+var_54],"rgb(111, 120, 112)"
[ebx+60h] eax,"rgb(111, 119, 113)"
[edi+0Ch] edx,"rgb(111, 118, 114)"
eax 0AAh,"rgb(111, 117, 115)"
ecx [esp+2Ch+var_20],"rgb(111, 116, 116)"
eax 0A0h,"rgb(111, 115, 117)"
mov [ebp+var_460],"rgb(111, 114, 118)"
[ebp+var_50] 1,"rgb(111, 113, 119)"
[esp+24h+var_4] ecx,"rgb(111, 112, 120)"
esp esp,"rgb(110, 140, 93)"
ecx [edx+60h],"rgb(110, 139, 94)"
ptr [ecx+9],"rgb(110, 138, 95)"
ch [esi],"rgb(110, 137, 96)"
cmp [ebp+var_7C],"rgb(110, 136, 97)"
mov [eax+1Ah],"rgb(110, 135, 98)"
ptr [edi+6],"rgb(110, 134, 99)"
mov [esp+arg_14],"rgb(110, 133, 100)"
[esi+ecx] dl,"rgb(110, 132, 101)"
mov [ebp+1D4h+var_224],"rgb(110, 131, 102)"
dw 244h,"rgb(110, 130, 103)"
push 6Bh,"rgb(110, 129, 104)"
edi [esi+38h],"rgb(110, 128, 105)"
mov [esp+13Ch+var_134],"rgb(110, 127, 106)"
ptr [ebp-120h],"rgb(110, 126, 107)"
mov [ebp+var_270],"rgb(110, 125, 108)"
eax 0D0h,"rgb(110, 124, 109)"
offset aUnknownExcepti,"rgb(110, 123, 110)"
esi [esp+4+arg_C],"rgb(110, 122, 111)"
ecx [eax-41h],"rgb(110, 121, 112)"
edx [ecx-4],"rgb(110, 120, 113)"
push [ebp+arg_28],"rgb(110, 119, 114)"
ptr [eax+9Ch],"rgb(110, 118, 115)"
call nullsub_3,"rgb(110, 117, 116)"
ecx [ebx+44h],"rgb(110, 116, 117)"
's' 0,"rgb(110, 115, 118)"
esp 0A8h,"rgb(110, 114, 119)"
[esp+1Ch+var_4] 2,"rgb(110, 113, 120)"
[ebp-80h] eax,"rgb(109, 140, 94)"
esp 804h,"rgb(109, 139, 95)"
[ebp+Type] 4,"rgb(109, 138, 96)"
edi 80070057h,"rgb(109, 137, 97)"
ptr [eax+1Ah],"rgb(109, 136, 98)"
ecx 30000h,"rgb(109, 135, 99)"
mov [ebp+arg_1C],"rgb(109, 134, 100)"
push 6Dh,"rgb(109, 133, 101)"
push [ebp+ho],"rgb(109, 132, 102)"
ptr [esp+60h+var_4],"rgb(109, 131, 103)"
al 74h,"rgb(109, 130, 104)"
eax [eax+70h],"rgb(109, 129, 105)"
ecx 82h,"rgb(109, 128, 106)"
fdivrp st(1),"rgb(109, 127, 107)"
ebp [eax+8],"rgb(109, 126, 108)"
ecx [esp+58h+var_2C],"rgb(109, 125, 109)"
call ds:GetWindowLongW,"rgb(109, 124, 110)"
eax [eax+esi+8],"rgb(109, 123, 111)"
ptr [eax+0B0h],"rgb(109, 122, 112)"
ptr [esp+78h+var_4],"rgb(109, 121, 113)"
[edi] bh,"rgb(109, 120, 114)"
mov [ecx+0Ah],"rgb(109, 119, 115)"
esp 220h,"rgb(109, 118, 116)"
esi [ebp-68h],"rgb(109, 117, 117)"
cmp [ebp+lpSrcStr],"rgb(109, 116, 118)"
mov [esp+0CCh+var_C0],"rgb(109, 115, 119)"
ebx [esi+24h],"rgb(109, 114, 120)"
fstp [esp+18h+var_18],"rgb(108, 140, 95)"
110005h 0,"rgb(108, 139, 96)"
[ecx+1Ch] dl,"rgb(108, 138, 97)"
ptr [edx+esi],"rgb(108, 137, 98)"
and [ebp+var_48],"rgb(108, 136, 99)"
mov [esp+20h+arg_4],"rgb(108, 135, 100)"
cl 70h,"rgb(108, 134, 101)"
[ebp-18h] 1,"rgb(108, 133, 102)"
fstp st(3),"rgb(108, 132, 103)"
edi [esi+74h],"rgb(108, 131, 104)"
eax 0E2h,"rgb(108, 130, 105)"
mm3 mm7,"rgb(108, 129, 106)"
edx [esp+2Ch+var_1C],"rgb(108, 128, 107)"
offset PrefixString,"rgb(108, 127, 108)"
[ebp+var_1C] 0FFFFh,"rgb(108, 126, 109)"
al 5Ah,"rgb(108, 125, 110)"
[ebp+DistanceToMoveHigh] eax,"rgb(108, 124, 111)"
eax [esi+0C8h],"rgb(108, 123, 112)"
ecx [esp+8+arg_C],"rgb(108, 122, 113)"
eax [ebp-21Ch],"rgb(108, 121, 114)"
ebx [ebp+arg_18],"rgb(108, 120, 115)"
call ds:SetEndOfFile,"rgb(108, 119, 116)"
dw 89h,"rgb(108, 118, 117)"
mov [ebp-218h],"rgb(108, 117, 118)"
bx ax,"rgb(108, 116, 119)"
edx [esp+1Ch+var_C],"rgb(108, 115, 120)"
ecx [ebp+var_128],"rgb(107, 140, 96)"
edx 0C0h,"rgb(107, 139, 97)"
eax [ebp+var_F0],"rgb(107, 138, 98)"
cl 0E0h,"rgb(107, 137, 99)"
mov [ebp-0A8h],"rgb(107, 136, 100)"
edi [eax+ecx],"rgb(107, 135, 101)"
call ds:_lopen,"rgb(107, 134, 102)"
call ds:OemToCharA,"rgb(107, 133, 103)"
[ebp+var_14] 0FFFFFFFFh,"rgb(107, 132, 104)"
ecx [eax+54h],"rgb(107, 131, 105)"
ptr [edi+48h],"rgb(107, 130, 106)"
eax [ebp+hFile],"rgb(107, 129, 107)"
dec [ebp+nNumberOfBytesToRead],"rgb(107, 128, 108)"
mov [esp+9Ch+var_80],"rgb(107, 127, 109)"
cx 1,"rgb(107, 126, 110)"
mov [ebp+var_1B4],"rgb(107, 125, 111)"
and [ebp+var_50],"rgb(107, 124, 112)"
[ebp-10h] offset,"rgb(107, 123, 113)"
[edi-4] eax,"rgb(107, 122, 114)"
edx [ebx+1],"rgb(107, 121, 115)"
[esi+3Ch] offset,"rgb(107, 120, 116)"
[ebp+var_64] ebx,"rgb(107, 119, 117)"
eax [ebp+ProcessInformation],"rgb(107, 118, 118)"
eax [ebx+80h],"rgb(107, 117, 119)"
st st(7),"rgb(107, 116, 120)"
[ebp+lpMem] ebx,"rgb(106, 140, 97)"
[ebp-0Ch] esi,"rgb(106, 139, 98)"
eax 80040209h,"rgb(106, 138, 99)"
[ebp-30h] 1,"rgb(106, 137, 100)"
eax [esp+3Ch+var_28],"rgb(106, 136, 101)"
ecx [ebp+var_21C],"rgb(106, 135, 102)"
ptr [ebp+var_58],"rgb(106, 134, 103)"
edx [ebp+var_CC],"rgb(106, 133, 104)"
ecx [esp+2Ch+arg_4],"rgb(106, 132, 105)"
[ebp+arg_0] 0FFFFh,"rgb(106, 131, 106)"
mov [esp+9Ch+var_90],"rgb(106, 130, 107)"
[esp+0Ch] ebx,"rgb(106, 129, 108)"
ptr [eax+0A8h],"rgb(106, 128, 109)"
short loc_40333C,"rgb(106, 127, 110)"
cmp [esp+arg_8],"rgb(106, 126, 111)"
edx [esi+50h],"rgb(106, 125, 112)"
eax [esp+50h+var_3C],"rgb(106, 124, 113)"
ebx [ecx+edx],"rgb(106, 123, 114)"
[ebp-24h] edx,"rgb(106, 122, 115)"
edx 0FCh,"rgb(106, 121, 116)"
[esi+94h] eax,"rgb(106, 120, 117)"
[ebp+var_4] 11h,"rgb(106, 119, 118)"
eax 44h,"rgb(106, 118, 119)"
edx [esp+0FCh+var_20],"rgb(106, 117, 120)"
[ebp+1D4h+arg_4] edi,"rgb(105, 140, 98)"
[ecx+14h] bl,"rgb(105, 139, 99)"
cx word_416C54,"rgb(105, 138, 100)"
ecx [esp+34h+var_18],"rgb(105, 137, 101)"
db 'a',"rgb(105, 136, 102)"
call ds:LoadLibraryExA,"rgb(105, 135, 103)"
[ecx+8] bl,"rgb(105, 134, 104)"
eax [ebp+1D4h+var_218],"rgb(105, 133, 105)"
[esp+0Ch] edx,"rgb(105, 132, 106)"
ecx [eax+esi*4],"rgb(105, 131, 107)"
ebx [esi+2],"rgb(105, 130, 108)"
call ds:FormatMessageA,"rgb(105, 129, 109)"
cmp [edi+10h],"rgb(105, 128, 110)"
offset aSS_0,"rgb(105, 127, 111)"
call ds:__imp__GetModuleHandleA@4,"rgb(105, 126, 112)"
[ebp+1D4h+var_214] 0,"rgb(105, 125, 113)"
[ebp+1D4h+var_210+1] 8,"rgb(105, 124, 114)"
ebx 800h,"rgb(105, 123, 115)"
ptr [ebp-118h],"rgb(105, 122, 116)"
[esp+10h+arg_0] ecx,"rgb(105, 121, 117)"
ecx [esp+40h+var_C],"rgb(105, 120, 118)"
al 52h,"rgb(105, 119, 119)"
[esp+34h+var_4] bl,"rgb(105, 118, 120)"
[ebp+cchName] 100h,"rgb(104, 140, 99)"
mov [esi+7],"rgb(104, 139, 100)"
ecx [esp+arg_18],"rgb(104, 138, 101)"
mov [ebx+68h],"rgb(104, 137, 102)"
offset aStartup,"rgb(104, 136, 103)"
[ebp+var_24] 14h,"rgb(104, 135, 104)"
ebx [ebp+var_50],"rgb(104, 134, 105)"
push [ebp+var_78],"rgb(104, 133, 106)"
call ds:__imp__GlobalUnlock@4,"rgb(104, 132, 107)"
cmp [eax-8],"rgb(104, 131, 108)"
eax [edi+eax*4],"rgb(104, 130, 109)"
ptr [edx+64h],"rgb(104, 129, 110)"
mov [ebp+var_1B8],"rgb(104, 128, 111)"
ebx 1Ch,"rgb(104, 127, 112)"
cmp [ebp+var_12],"rgb(104, 126, 113)"
ptr [ecx+98h],"rgb(104, 125, 114)"
eax [eax+0ACh],"rgb(104, 124, 115)"
eax [ebp+var_F8],"rgb(104, 123, 116)"
esp 0CCh,"rgb(104, 122, 117)"
[esi] 2Ch,"rgb(104, 121, 118)"
mov [esi+114h],"rgb(104, 120, 119)"
edx [ebp+var_E],"rgb(104, 119, 120)"
mov [ebp+var_27C],"rgb(103, 140, 100)"
call ds:__imp__RegCreateKeyExA@36,"rgb(103, 139, 101)"
[ebp+var_158] eax,"rgb(103, 138, 102)"
[edx+20h] eax,"rgb(103, 137, 103)"
[ebp+var_C] 40h,"rgb(103, 136, 104)"
mov [ebp-0Dh],"rgb(103, 135, 105)"
ptr [edi+4Ch],"rgb(103, 134, 106)"
dw 96h,"rgb(103, 133, 107)"
[ebp+var_CC] eax,"rgb(103, 132, 108)"
ch [eax],"rgb(103, 131, 109)"
'a' 0,"rgb(103, 130, 110)"
push [ebp+var_6C],"rgb(103, 129, 111)"
mov [eax+edi],"rgb(103, 128, 112)"
[ebp+1D4h+var_21C] eax,"rgb(103, 127, 113)"
[esp+3Ch+var_4] 0,"rgb(103, 126, 114)"
ptr [eax+10Ch],"rgb(103, 125, 115)"
edx [ebp+WideCharStr],"rgb(103, 124, 116)"
[ebx+3] 1,"rgb(103, 123, 117)"
push 81h,"rgb(103, 122, 118)"
mov [ebp+1D4h+arg_4],"rgb(103, 121, 119)"
call sub_40191E,"rgb(103, 120, 120)"
mov [ebp+var_268],"rgb(102, 140, 101)"
[ecx+38h] eax,"rgb(102, 139, 102)"
push 118h,"rgb(102, 138, 103)"
ptr [ecx-14h],"rgb(102, 137, 104)"
edi [eax+14h],"rgb(102, 136, 105)"
cl 46h,"rgb(102, 135, 106)"
esp 0BCh,"rgb(102, 134, 107)"
eax [ebx+68h],"rgb(102, 133, 108)"
mov [eax+esi+1Ch],"rgb(102, 132, 109)"
[ebp-50h] 0,"rgb(102, 131, 110)"
edx [esp+30h+var_1C],"rgb(102, 130, 111)"
eax [ebp+arg_38],"rgb(102, 129, 112)"
[ebp+var_24] 0Dh,"rgb(102, 128, 113)"
edi [esi+48h],"rgb(102, 127, 114)"
dec [ebp+var_4C],"rgb(102, 126, 115)"
eax [esp+3Ch+arg_0],"rgb(102, 125, 116)"
ptr [esi+9],"rgb(102, 124, 117)"
ecx [esp+68h+var_34],"rgb(102, 123, 118)"
ebx ds:HeapAlloc,"rgb(102, 122, 119)"
esi large,"rgb(102, 121, 120)"
call sub_40346C,"rgb(101, 140, 102)"
call ds:VirtualProtect,"rgb(101, 139, 103)"
[ebp+var_54] ebx,"rgb(101, 138, 104)"
push 83h,"rgb(101, 137, 105)"
ebx [esp+14h+arg_0],"rgb(101, 136, 106)"
[ebp+18h] ebx,"rgb(101, 135, 107)"
[edx] 2,"rgb(101, 134, 108)"
[ebp+var_414] eax,"rgb(101, 133, 109)"
ecx [ebp+0Ah],"rgb(101, 132, 110)"
[edi+14h] 0,"rgb(101, 131, 111)"
cmp [ebp+var_8C],"rgb(101, 130, 112)"
dw 1E4h,"rgb(101, 129, 113)"
[ebp+var_5C] ebx,"rgb(101, 128, 114)"
call sub_4032EB,"rgb(101, 127, 115)"
db 2,"rgb(101, 126, 116)"
[eax+7Ch] ecx,"rgb(101, 125, 117)"
mov [ebp+var_320],"rgb(101, 124, 118)"
edx [ebp+var_E8],"rgb(101, 123, 119)"
[ebp+0] offset,"rgb(101, 122, 120)"
[esp+28h+var_14] eax,"rgb(100, 140, 103)"
[ebp+var_E0] eax,"rgb(100, 139, 104)"
rva aShell32_dll,"rgb(100, 138, 105)"
offset Data,"rgb(100, 137, 106)"
ptr [ebp-15h],"rgb(100, 136, 107)"
ptr [ebx+7Ch],"rgb(100, 135, 108)"
ptr [esi+118h],"rgb(100, 134, 109)"
cmp [ebp-0Ch],"rgb(100, 133, 110)"
[ecx+eax*2] 0,"rgb(100, 132, 111)"
eax [ecx+ecx],"rgb(100, 131, 112)"
eax [esp+20h+var_4],"rgb(100, 130, 113)"
mov [ebx+eax*4],"rgb(100, 129, 114)"
add [esi+10h],"rgb(100, 128, 115)"
edi [ebp+var_50],"rgb(100, 127, 116)"
fstsw word,"rgb(100, 126, 117)"
eax [esp+18h+arg_C],"rgb(100, 125, 118)"
ptr [ebp+1],"rgb(100, 124, 119)"
call sub_402570,"rgb(100, 123, 120)"
[ebp+var_D4] eax,"rgb(99, 140, 104)"
ptr [esi+0FCh],"rgb(99, 139, 105)"
ptr [edi+54h],"rgb(99, 138, 106)"
al [eax-1],"rgb(99, 137, 107)"
bl dh,"rgb(99, 136, 108)"
esi 1Eh,"rgb(99, 135, 109)"
shr [ebp+var_8],"rgb(99, 134, 110)"
edx [ebx+28h],"rgb(99, 133, 111)"
ah ch,"rgb(99, 132, 112)"
[edx+14h] ecx,"rgb(99, 131, 113)"
esp 0A4h,"rgb(99, 130, 114)"
ebx [esp+10h+arg_8],"rgb(99, 129, 115)"
[ecx+34h] eax,"rgb(99, 128, 116)"
ecx [ebx+30h],"rgb(99, 127, 117)"
mov [ebp-0A4h],"rgb(99, 126, 118)"
eax [ebx+2],"rgb(99, 125, 119)"
ptr [eax+edx*4+4],"rgb(99, 124, 120)"
edi [ebx+ebx],"rgb(98, 140, 105)"
dd 100007h,"rgb(98, 139, 106)"
[ebp+var_1C] ax,"rgb(98, 138, 107)"
eax [edx-18h],"rgb(98, 137, 108)"
bl ch,"rgb(98, 136, 109)"
[ebx+40h] 0,"rgb(98, 135, 110)"
al [edx-1],"rgb(98, 134, 111)"
jmp ds:VirtualAlloc,"rgb(98, 133, 112)"
mov [ebp+NumberOfBytesWritten],"rgb(98, 132, 113)"
eax [eax+74h],"rgb(98, 131, 114)"
call ds:FindWindowA,"rgb(98, 130, 115)"
[ebx+48h] eax,"rgb(98, 129, 116)"
ptr [ebp-210h],"rgb(98, 128, 117)"
mov [esi+0D8h],"rgb(98, 127, 118)"
push [ebp+Rect.left],"rgb(98, 126, 119)"
call sub_4043BF,"rgb(98, 125, 120)"
esp 224h,"rgb(97, 140, 106)"
dec [ebp+var_10],"rgb(97, 139, 107)"
edx [eax-8],"rgb(97, 138, 108)"
edi [ebp-80h],"rgb(97, 137, 109)"
[ebp+var_DC] eax,"rgb(97, 136, 110)"
[ebp+var_14C] eax,"rgb(97, 135, 111)"
dd 0Eh,"rgb(97, 134, 112)"
call ds:CompareStringA,"rgb(97, 133, 113)"
[ebp+ho] eax,"rgb(97, 132, 114)"
[ebp+var_1C] cx,"rgb(97, 131, 115)"
esp [ebp-1Ch],"rgb(97, 130, 116)"
ptr [ecx+90h],"rgb(97, 129, 117)"
[ebx+30h] 0,"rgb(97, 128, 118)"
eax [ebp+var_2D0],"rgb(97, 127, 119)"
ebx [ebp+var_3C],"rgb(97, 126, 120)"
[ebp+cchSrc] edi,"rgb(96, 140, 107)"
esp 200h,"rgb(96, 139, 108)"
[esp+18h+var_C] eax,"rgb(96, 138, 109)"
ecx [eax+ebx*4],"rgb(96, 137, 110)"
ptr [ebx+0ACh],"rgb(96, 136, 111)"
call sub_401F90,"rgb(96, 135, 112)"
ptr [ecx-3],"rgb(96, 134, 113)"
dd 1C0004h,"rgb(96, 133, 114)"
eax [esi+edi],"rgb(96, 132, 115)"
push 130h,"rgb(96, 131, 116)"
[ebp+arg_0] 0FFFFFFBFh,"rgb(96, 130, 117)"
ptr [esi+0CCh],"rgb(96, 129, 118)"
ptr [eax+edx+4],"rgb(96, 128, 119)"
ptr [edi+edx],"rgb(96, 127, 120)"
ecx 0FFFh,"rgb(95, 140, 108)"
eax 1450h,"rgb(95, 139, 109)"
___security_cookie 0BB40E64Eh,"rgb(95, 138, 110)"
[esp+18h+var_4] edi,"rgb(95, 137, 111)"
mov [esp+9Ch+var_40],"rgb(95, 136, 112)"
ecx [eax+eax*8],"rgb(95, 135, 113)"
short loc_402DFD,"rgb(95, 134, 114)"
al 4Fh,"rgb(95, 133, 115)"
edx [ebp-60h],"rgb(95, 132, 116)"
[esi] ch,"rgb(95, 131, 117)"
eax dword_416BD0,"rgb(95, 130, 118)"
push [esp+8+lpString1],"rgb(95, 129, 119)"
[ebp+var_70] ecx,"rgb(95, 128, 120)"
[ebp+hMem] ebx,"rgb(94, 140, 109)"
[ebp+var_4C] 19h,"rgb(94, 139, 110)"
eax [edi+68h],"rgb(94, 138, 111)"
push 1002h,"rgb(94, 137, 112)"
ebp [esp+0Ch+arg_0],"rgb(94, 136, 113)"
ptr [ebp+var_C+3],"rgb(94, 135, 114)"
eax [esp+40h+arg_0],"rgb(94, 134, 115)"
edx [esi+40h],"rgb(94, 133, 116)"
ptr [ebp-11h],"rgb(94, 132, 117)"
[ebp+Arguments] eax,"rgb(94, 131, 118)"
test [ebp+var_1A+2],"rgb(94, 130, 119)"
eax [ebp+var_1A+2],"rgb(94, 129, 120)"
ptr [eax+9],"rgb(93, 140, 110)"
esp 420h,"rgb(93, 139, 111)"
eax [ebp+var_230],"rgb(93, 138, 112)"
ebx [edi+1],"rgb(93, 137, 113)"
dl 7Fh,"rgb(93, 136, 114)"
[eax+40h] ecx,"rgb(93, 135, 115)"
edx [ebx+34h],"rgb(93, 134, 116)"
call ds:__imp__GetSystemMetrics@4,"rgb(93, 133, 117)"
ecx [ecx+28h],"rgb(93, 132, 118)"
push [ebp+lprc],"rgb(93, 131, 119)"
